"id"	"label"
"CL:0005000"	"spinal cord interneuron"
"CL:0005007"	"Kolmer-Agduhr neuron"
"CL:0011000"	"dorsal horn interneuron"
"CL:2000023"	"spinal cord ventral column interneuron"
"CL:0008031"	"cortical interneuron"
"CL:0010011"	"cerebral cortex GABAergic interneuron"
"CL:2000086"	"neocortex basket cell"
"CL:2000087"	"dentate gyrus of hippocampal formation basket cell"
"CL:2000088"	"Ammon's horn basket cell"
"CL:4023064"	"caudal ganglionic eminence derived interneuron"
"CL:4023069"	"medial ganglionic eminence derived GABAergic cortical interneuron"
"CL:1001569"	"hippocampal interneuron"
"CL:1001434"	"olfactory bulb interneuron"
"CL:0000626"	"olfactory granule cell"
"CL:1001502"	"mitral cell"
"CL:2000027"	"cerebellum basket cell"
"CL:4023057"	"cerebellar inhibitory GABAergic interneuron"
"CL:0000119"	"cerebellar Golgi cell"
"CL:0000498"	"inhibitory interneuron"
"CL:0011005"	"GABAergic interneuron"
"CL:4030027"	"GABAergic amacrine cell"
"CL:0000118"	"basket cell"
"CL:0000561"	"amacrine cell"
"CL:0000691"	"stellate interneuron"
"CL:0000745"	"retina horizontal cell"
"CL:4023063"	"medial ganglionic eminence derived interneuron"
"CL:0000104"	"multipolar neuron"
"CL:0000122"	"stellate neuron"
"CL:0010010"	"cerebellar stellate cell"
"CL:2000090"	"dentate gyrus of hippocampal formation stellate cell"
"CL:0000598"	"pyramidal neuron"
"CL:4023110"	"amygdala pyramidal neuron"
"CL:4023111"	"cerebral cortex pyramidal neuron"
"CL:1001571"	"hippocampal pyramidal neuron"
"CL:2000049"	"primary motor cortex pyramidal cell"
"CL:0000108"	"cholinergic neuron"
"CL:0005024"	"somatomotor neuron"
"CL:0008039"	"lower motor neuron"
"CL:0008038"	"alpha motor neuron"
"CL:3000003"	"sympathetic cholinergic neuron"
"CL:0000117"	"CNS neuron (sensu Vertebrata)"
"CL:0000120"	"granule cell"
"CL:0001031"	"cerebellar granule cell"
"CL:0001032"	"cortical granule cell"
"CL:0001033"	"hippocampal granule cell"
"CL:2000089"	"dentate gyrus granule cell"
"GO:0097457"	"hippocampal mossy fiber"
"CL:0000121"	"Purkinje cell"
"CL:0000555"	"neuronal brush cell"
"CL:0000740"	"retinal ganglion cell"
"CL:0002610"	"raphe nuclei neuron"
"CL:0002611"	"neuron of the dorsal spinal cord"
"CL:0002612"	"neuron of the ventral spinal cord"
"CL:0002614"	"neuron of the substantia nigra"
"CL:0012001"	"neuron of the forebrain"
"CL:0002613"	"striatum neuron"
"CL:0000617"	"GABAergic neuron"
"CL:0000526"	"afferent neuron"
"CL:0000101"	"sensory neuron"
"CL:0000006"	"neuronal receptor cell"
"CL:0000198"	"pain receptor cell"
"UBERON:0035017"	"nociceptor nerve ending"
"CL:0000207"	"olfactory receptor cell"
"CL:0000847"	"ciliated olfactory receptor neuron"
"CL:0000848"	"microvillous olfactory receptor neuron"
"CL:0000210"	"photoreceptor cell"
"CL:0000287"	"eye photoreceptor cell"
"CL:0010009"	"camera-type eye photoreceptor cell"
"CL:0000604"	"retinal rod cell"
"CL:0000573"	"retinal cone cell"
"CL:2000019"	"compound eye photoreceptor cell"
"CL:0000488"	"visible light photoreceptor cell"
"GO:0001917"	"photoreceptor inner segment"
"GO:0097733"	"photoreceptor cell cilium"
"CL:0000856"	"neuromast hair cell"
"CL:2000034"	"anterior lateral line neuromast hair cell"
"CL:2000037"	"posterior lateral line neuromast hair cell"
"CL:0002374"	"ear hair cell"
"CL:0000609"	"vestibular hair cell"
"CL:0002069"	"type II vestibular sensory cell"
"CL:1000382"	"type 2 vestibular sensory cell of stato-acoustic epithelium"
"CL:1000383"	"type 2 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth"
"CL:1000384"	"type 2 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth"
"CL:1000385"	"type 2 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth"
"CL:0002070"	"type I vestibular sensory cell"
"CL:1000378"	"type 1 vestibular sensory cell of stato-acoustic epithelium"
"CL:1000379"	"type 1 vestibular sensory cell of epithelium of macula of utricle of membranous labyrinth"
"CL:1000380"	"type 1 vestibular sensory cell of epithelium of macula of saccule of membranous labyrinth"
"CL:1000381"	"type 1 vestibular sensory cell of epithelium of crista of ampulla of semicircular duct of membranous labyrinth"
"CL:0005008"	"macular hair cell"
"CL:4023120"	"cochlea auditory hair cell"
"CL:1000223"	"lung neuroendocrine cell"
"CL:4033010"	"neuroendocrine cell of epithelium of lobar bronchus"
"CL:0000199"	"mechanoreceptor cell"
"CL:0000200"	"touch receptor cell"
"CL:0000855"	"sensory hair cell"
"CL:0000202"	"auditory hair cell"
"CL:3000004"	"peripheral sensory neuron"
"CL:0009000"	"sensory neuron of spinal nerve"
"CL:0000527"	"efferent neuron"
"CL:0000100"	"motor neuron"
"CL:0011001"	"spinal cord motor neuron"
"CL:2000047"	"brainstem motor neuron"
"CL:0000165"	"neuroendocrine cell"
"CL:0000568"	"amine precursor uptake and decarboxylation cell"
"CL:0011003"	"magnocellular neurosecretory cell"
"CL:4023109"	"vasopressin-secreting magnocellular cell"
"CL:0017002"	"prostate neuroendocrine cell"
"CL:1000222"	"stomach neuroendocrine cell"
"CL:1001505"	"parvocellular neurosecretory cell"
"CL:4033002"	"neuroendocrine cell of epithelium of crypt of Lieberkuhn"
"CL:0000679"	"glutamatergic neuron"
"CL:2000028"	"cerebellum glutamatergic neuron"
"CL:4023038"	"L6b glutamatergic cortical neuron"
"CL:4023039"	"amygdala excitatory neuron"
"CL:4023068"	"thalamic excitatory neuron"
"CL:0000850"	"serotonergic neuron"
"CL:0008028"	"visual system neuron"
"CL:0010022"	"cardiac neuron"
"CL:0011113"	"spiral ganglion neuron"
"CL:1001503"	"olfactory bulb tufted cell"
"CL:2000029"	"central nervous system neuron"
"CL:4023187"	"koniocellular cell"
"CL:1001611"	"cerebellar neuron"
"CL:0010012"	"cerebral cortex neuron"
"CL:0002608"	"hippocampal neuron"
"CL:4023062"	"dentate gyrus neuron"
"CL:1000001"	"retrotrapezoid nucleus neuron"
"CL:2000024"	"spinal cord medial motor column neuron"
"CL:1001582"	"lateral ventricle neuron"
"CL:2000097"	"midbrain dopaminergic neuron"
"CL:4023074"	"mammillary body neuron"
"CL:4023107"	"reticulospinal neuron"
"CL:2000031"	"lateral line ganglion neuron"
"CL:0008021"	"anterior lateral line ganglion neuron"
"CL:1000245"	"posterior lateral line ganglion neuron"
"CL:2000032"	"peripheral nervous system neuron"
"CL:1000606"	"kidney nerve cell"
"CL:0000107"	"autonomic neuron"
"CL:0011103"	"sympathetic neuron"
"CL:3000002"	"sympathetic noradrenergic neuron"
"CL:4023035"	"lateral ganglionic eminence derived neuron"
"CL:4033050"	"catecholaminergic neuron"
"CL:0000700"	"dopaminergic neuron"
"CL:0008025"	"noradrenergic neuron"
"CL:4023079"	"midbrain-derived inhibitory neuron"
"GO:0036477"	"somatodendritic compartment"
"GO:0030425"	"dendrite"
"GO:0032590"	"dendrite membrane"
"GO:0032839"	"dendrite cytoplasm"
"GO:1901588"	"dendritic microtubule"
"GO:0043025"	"neuronal cell body"
"GO:0097447"	"dendritic tree"
"GO:0043005"	"neuron projection"
"GO:0030424"	"axon"
"GO:0033268"	"node of Ranvier"
"GO:0044304"	"main axon"
"GO:1901589"	"axon microtubule bundle"
"GO:1904115"	"axon cytoplasm"
"GO:0032589"	"neuron projection membrane"
"GO:0120111"	"neuron projection cytoplasm"
"GO:0098992"	"neuronal dense core vesicle"
"GO:0099012"	"neuronal dense core vesicle membrane"
"GO:0098793"	"presynapse"
"GO:0048786"	"presynaptic active zone"
"GO:0048788"	"cytoskeleton of presynaptic active zone"
"GO:0098831"	"presynaptic active zone cytoplasmic component"
"GO:0099143"	"presynaptic actin cytoskeleton"
"GO:0099182"	"presynaptic intermediate filament cytoskeleton"
"GO:0099523"	"presynaptic cytosol"
"GO:0099569"	"presynaptic cytoskeleton"
"CL:0000706"	"choroid plexus epithelial cell"
"CL:0000708"	"leptomeningeal cell"
"CL:0000878"	"central nervous system macrophage"
"CL:4042003"	"border associated macrophage"
"CL:0000881"	"perivascular macrophage"
"CL:0002169"	"basal cell of olfactory epithelium"
"CL:0000853"	"olfactory epithelial supporting cell"
"CL:0002549"	"fibroblast of choroid plexus"
"CL:0002575"	"central nervous system pericyte"
"CL:2000043"	"brain pericyte"
"CL:0008047"	"intrafusal muscle fiber"
"CL:0009004"	"retinal cell"
"CL:0002485"	"retinal melanocyte"
"CL:0002585"	"retinal blood vessel endothelial cell"
"CL:0002586"	"retinal pigment epithelial cell"
"CL:0009001"	"compound eye retinal cell"
"CL:1000298"	"mesothelial cell of dura mater"
"CL:1000042"	"forebrain neuroblast"
"CL:2000004"	"pituitary gland cell"
"CL:0000642"	"folliculostellate cell"
"CL:0002177"	"folliculostellate cell of pars distalis of adenohypophysis"
"CL:2000030"	"hypothalamus cell"
"CL:2000044"	"brain microvascular endothelial cell"
"CL:4023072"	"brain vascular cell"
"CL:4033049"	"taste receptor cell of tongue"
"UBERON:0000005"	"chemosensory organ"
"UBERON:0003212"	"gustatory organ"
"UBERON:0001727"	"taste bud"
"UBERON:0007691"	"gustatory pore"
"UBERON:0014451"	"tongue taste bud"
"UBERON:0034717"	"integumental taste bud"
"UBERON:0034718"	"barbel taste bud"
"UBERON:0034720"	"head taste bud"
"UBERON:0034726"	"trunk taste bud"
"UBERON:0034719"	"lip taste bud"
"UBERON:0034721"	"pharyngeal taste bud"
"UBERON:0034722"	"mouth roof taste bud"
"UBERON:0034670"	"palatal taste bud"
"UBERON:0034723"	"fin taste bud"
"UBERON:0034724"	"esophageal taste bud"
"UBERON:0000010"	"peripheral nervous system"
"UBERON:0000012"	"somatic nervous system"
"UBERON:0011390"	"pudendal nerve"
"UBERON:0011391"	"perineal nerve"
"UBERON:0019197"	"dorsal nerve of penis"
"UBERON:0019198"	"dorsal nerve of clitoris"
"UBERON:0001997"	"olfactory epithelium"
"UBERON:0015246"	"septal organ of Masera"
"UBERON:0003945"	"somatic motor system"
"UBERON:0002926"	"gustatory epithelium"
"UBERON:0014452"	"gustatory epithelium of tongue"
"UBERON:0014453"	"gustatory epithelium of palate"
"UBERON:0006585"	"vestibular organ"
"UBERON:0002518"	"otolith organ"
"UBERON:0001853"	"utricle of membranous labyrinth"
"UBERON:0002214"	"macula of utricle of membranous labyrinth"
"UBERON:0003241"	"epithelium of utricle"
"UBERON:0003979"	"utricle valve"
"UBERON:2000530"	"lapillus"
"UBERON:0001854"	"saccule of membranous labyrinth"
"UBERON:0002212"	"macula of saccule of membranous labyrinth"
"UBERON:0003242"	"epithelium of saccule"
"UBERON:2000676"	"sagitta"
"UBERON:3000393"	"pars amphibiorum"
"UBERON:3000395"	"pars basilaris"
"UBERON:0016567"	"statoconial membrane"
"UBERON:0002519"	"otolithic part of statoconial membrane"
"UBERON:0002280"	"otolith"
"UBERON:2000315"	"asteriscus"
"UBERON:0016568"	"gelatinous layer of statoconial membrane"
"UBERON:0016569"	"subcupular meshwork of statoconial membrane"
"UBERON:2000168"	"anterior macula"
"UBERON:2000116"	"macula lagena"
"UBERON:2000234"	"macula neglecta"
"UBERON:0000123"	"endoneurium"
"UBERON:0011893"	"endoneurial fluid"
"UBERON:0000124"	"epineurium"
"UBERON:0001021"	"nerve"
"UBERON:0002464"	"nerve trunk"
"UBERON:0002004"	"trunk of sciatic nerve"
"UBERON:0002442"	"axillary nerve trunk"
"UBERON:0003535"	"vagus X nerve trunk"
"UBERON:0035020"	"left vagus X nerve trunk"
"UBERON:0035021"	"right vagus X nerve trunk"
"UBERON:0004295"	"sympathetic nerve trunk"
"UBERON:0004863"	"thoracic sympathetic nerve trunk"
"UBERON:0000961"	"thoracic ganglion"
"UBERON:0002835"	"thoracic dorsal root ganglion"
"UBERON:0002854"	"eleventh thoracic dorsal root ganglion"
"UBERON:0002855"	"twelfth thoracic dorsal root ganglion"
"UBERON:0002845"	"first thoracic dorsal root ganglion"
"UBERON:0002846"	"second thoracic dorsal root ganglion"
"UBERON:0002847"	"third thoracic dorsal root ganglion"
"UBERON:0002848"	"fifth thoracic dorsal root ganglion"
"UBERON:0002849"	"sixth thoracic dorsal root ganglion"
"UBERON:0002850"	"seventh thoracic dorsal root ganglion"
"UBERON:0002851"	"eighth thoracic dorsal root ganglion"
"UBERON:0002852"	"ninth thoracic dorsal root ganglion"
"UBERON:0002853"	"tenth thoracic dorsal root ganglion"
"UBERON:0007712"	"fourth thoracic spinal ganglion"
"UBERON:0018679"	"thoracic splanchnic nerve"
"UBERON:0001964"	"least splanchnic nerve"
"UBERON:0018680"	"greater splanchnic nerve"
"UBERON:0018681"	"lesser splanchnic nerve"
"UBERON:0009646"	"lumbar sympathetic nerve trunk"
"UBERON:0034901"	"cervical sympathetic nerve trunk"
"UBERON:0034902"	"sacral sympathetic nerve trunk"
"UBERON:0005476"	"spinal nerve trunk"
"UBERON:0001889"	"trunk of phrenic nerve"
"UBERON:0002327"	"trunk of intercostal nerve"
"UBERON:0006838"	"ventral ramus of spinal nerve"
"UBERON:0006839"	"dorsal ramus of spinal nerve"
"UBERON:0035022"	"trunk of segmental spinal nerve"
"UBERON:0017641"	"meningeal branch of spinal nerve"
"UBERON:0017642"	"communicating branch of spinal nerve"
"UBERON:0001027"	"sensory nerve"
"UBERON:0012453"	"nerve ending"
"UBERON:0012451"	"sensory receptor"
"UBERON:0035018"	"thermoreceptor"
"UBERON:0012449"	"mechanoreceptor"
"UBERON:0035016"	"tactile mechanoreceptor"
"UBERON:0035501"	"unencapsulated tactile receptor"
"UBERON:0035969"	"encapsulated tactile receptor"
"UBERON:8900000"	"sensory corpuscle"
"UBERON:0012448"	"Herbst's corpuscle"
"UBERON:0003719"	"Pacinian corpuscle"
"UBERON:0012450"	"Meissner's corpuscle"
"UBERON:0012457"	"Ruffini nerve ending"
"UBERON:0018389"	"interoceptor"
"UBERON:0004019"	"baroreceptor"
"UBERON:0018392"	"arterial baroreceptor"
"UBERON:0018393"	"low-pressure baroreceptor"
"UBERON:0018394"	"vein baroreceptor"
"UBERON:0018395"	"cardiac baroreceptor"
"UBERON:0018396"	"pulmonary baroreceptor"
"UBERON:0018391"	"chemoreceptor"
"UBERON:0034942"	"vibrissal follicle-sinus complex"
"UBERON:0035968"	"bulboid corpuscle"
"UBERON:0013671"	"nerve ending of of corpus cavernosum maxillaris"
"UBERON:0018406"	"mental nerve"
"UBERON:0001322"	"sciatic nerve"
"UBERON:0001323"	"tibial nerve"
"UBERON:0015488"	"sural nerve"
"UBERON:0035109"	"plantar nerve"
"UBERON:0035110"	"lateral plantar nerve"
"UBERON:0035111"	"medial plantar nerve"
"UBERON:0001324"	"common fibular nerve"
"UBERON:0035207"	"deep fibular nerve"
"UBERON:0035526"	"superficial fibular nerve"
"UBERON:0001780"	"spinal nerve"
"UBERON:0009624"	"lumbar nerve"
"UBERON:0009625"	"sacral nerve"
"UBERON:0009629"	"coccygeal nerve"
"UBERON:0000962"	"nerve of cervical vertebra"
"UBERON:0001884"	"phrenic nerve"
"UBERON:0003726"	"thoracic nerve"
"UBERON:0003727"	"intercostal nerve"
"UBERON:0005197"	"segmental spinal nerve"
"UBERON:0009674"	"accessory XI nerve spinal component"
"UBERON:0004215"	"back nerve"
"UBERON:0003430"	"neck nerve"
"UBERON:0003436"	"shoulder nerve"
"UBERON:0003437"	"eyelid nerve"
"UBERON:0022297"	"palpebral branch of infra-orbital nerve"
"UBERON:0022296"	"inferior palpebral branch of infra-orbital nerve"
"UBERON:0022298"	"lower eyelid nerve"
"UBERON:0018408"	"infra-orbital nerve"
"UBERON:0022299"	"upper eyelid nerve"
"UBERON:0015162"	"superior branch of oculomotor nerve"
"UBERON:0003438"	"iris nerve"
"UBERON:0022301"	"long ciliary nerve"
"UBERON:0022302"	"short ciliary nerve"
"UBERON:0003439"	"nerve of trunk region"
"UBERON:0003824"	"nerve of thoracic segment"
"UBERON:0003432"	"chest nerve"
"UBERON:0003825"	"nerve of abdominal segment"
"UBERON:0003429"	"abdomen nerve"
"UBERON:0003444"	"pelvis nerve"
"UBERON:0003440"	"limb nerve"
"UBERON:0003441"	"forelimb nerve"
"UBERON:0003433"	"arm nerve"
"UBERON:0001148"	"median nerve"
"UBERON:0016430"	"palmar branch of median nerve"
"UBERON:0001492"	"radial nerve"
"UBERON:0001493"	"axillary nerve"
"UBERON:0001494"	"ulnar nerve"
"UBERON:0004216"	"lower arm nerve"
"UBERON:0004217"	"upper arm nerve"
"UBERON:0003448"	"manus nerve"
"UBERON:0003434"	"wrist nerve"
"UBERON:0003447"	"digit nerve of manus"
"UBERON:0003442"	"hindlimb nerve"
"UBERON:0003431"	"leg nerve"
"UBERON:0002475"	"saphenous nerve"
"UBERON:0001267"	"femoral nerve"
"UBERON:0004214"	"upper leg nerve"
"UBERON:0004218"	"lower leg nerve"
"UBERON:0003445"	"pes nerve"
"UBERON:0003435"	"pedal digit nerve"
"UBERON:0003446"	"ankle nerve"
"UBERON:0003443"	"thoracic cavity nerve"
"UBERON:0003724"	"musculocutaneous nerve"
"UBERON:0004293"	"parasympathetic nerve"
"UBERON:0011929"	"postganglionic parasympathetic fiber"
"UBERON:0011930"	"preganglionic parasympathetic fiber"
"UBERON:0018675"	"pelvic splanchnic nerve"
"UBERON:3010750"	"descending branch of the vagus nerve"
"UBERON:8410062"	"parasympathetic cholinergic nerve"
"UBERON:0005430"	"ansa cervicalis"
"UBERON:0005465"	"obturator nerve"
"UBERON:0006798"	"efferent nerve"
"UBERON:0010380"	"enteric nerve"
"UBERON:0010406"	"cholinergic enteric nerve"
"UBERON:0011322"	"mylohyoid nerve"
"UBERON:0011779"	"nerve of head region"
"UBERON:0001785"	"cranial nerve"
"UBERON:0001579"	"olfactory nerve"
"UBERON:0001643"	"oculomotor nerve"
"UBERON:0015161"	"inferior branch of oculomotor nerve"
"UBERON:0001644"	"trochlear nerve"
"UBERON:0001645"	"trigeminal nerve"
"UBERON:0000348"	"ophthalmic nerve"
"UBERON:0000942"	"frontal nerve (branch of ophthalmic)"
"UBERON:0022300"	"nasociliary nerve"
"UBERON:3010652"	"ramus nasalis lateralis"
"UBERON:3010653"	"ramus nasalis medialis"
"UBERON:3010661"	"ramus nasalis internus"
"UBERON:3010665"	"ramule palatinus"
"UBERON:3010668"	"ramules cutaneous"
"UBERON:0011096"	"lacrimal nerve"
"UBERON:0000375"	"mandibular nerve"
"UBERON:0003721"	"lingual nerve"
"UBERON:0018405"	"inferior alveolar nerve"
"UBERON:3010693"	"ramus posterior profundus of V3"
"UBERON:0011321"	"masseteric nerve"
"UBERON:0011327"	"deep temporal nerve"
"UBERON:0013646"	"buccal nerve"
"UBERON:0013647"	"lateral pterygoid nerve"
"UBERON:0036143"	"meningeal branch of mandibular nerve"
"UBERON:0000377"	"maxillary nerve"
"UBERON:3010671"	"ramule palatonasalis"
"UBERON:0008810"	"nasopalatine nerve"
"UBERON:0018398"	"superior alveolar nerve"
"UBERON:0018401"	"posterior superior alveolar nerve"
"UBERON:0035646"	"anterior superior alveolar nerve"
"UBERON:0034725"	"pterygopalatine nerve"
"UBERON:0036264"	"zygomaticotemporal nerve"
"UBERON:0034728"	"autonomic nerve"
"UBERON:0011924"	"postganglionic autonomic fiber"
"UBERON:0011926"	"postganglionic sympathetic fiber"
"UBERON:0011925"	"preganglionic autonomic fiber"
"UBERON:0011927"	"preganglionic sympathetic fiber"
"UBERON:0003041"	"trigeminal nerve fibers"
"UBERON:3010669"	"trunk maxillary-mandibularis"
"UBERON:0001646"	"abducens nerve"
"UBERON:0001647"	"facial nerve"
"UBERON:3010720"	"ramus hyomandibularis"
"UBERON:3010722"	"ramus palatinus"
"UBERON:0009675"	"chorda tympani branch of facial nerve"
"UBERON:0011315"	"digastric branch of facial nerve"
"UBERON:0011316"	"nerve to stylohyoid from facial nerve"
"UBERON:0018412"	"vidian nerve"
"UBERON:0035648"	"nerve innervating pinna"
"UBERON:0008833"	"great auricular nerve"
"UBERON:0035647"	"posterior auricular nerve"
"UBERON:0001648"	"vestibulocochlear nerve"
"UBERON:0003723"	"vestibular nerve"
"UBERON:0004727"	"cochlear nerve"
"UBERON:2005144"	"ampullary nerve"
"UBERON:3010735"	"ramus anterior of CN VIII"
"UBERON:3010736"	"ramus posterior of CN VIII"
"UBERON:0001649"	"glossopharyngeal nerve"
"UBERON:3010726"	"ramus muscularis of glossopharyngeus nerve"
"UBERON:0009009"	"carotid sinus nerve"
"UBERON:0011317"	"nerve to stylopharyngeus from glossopharyngeal nerve"
"UBERON:0036216"	"tympanic nerve"
"UBERON:0001650"	"hypoglossal nerve"
"UBERON:0001759"	"vagus nerve"
"UBERON:0000929"	"pharyngeal branch of vagus nerve"
"UBERON:0002009"	"pulmonary nerve plexus"
"UBERON:0003716"	"recurrent laryngeal nerve"
"UBERON:0011766"	"left recurrent laryngeal nerve"
"UBERON:0011767"	"right recurrent laryngeal nerve"
"UBERON:0009673"	"accessory XI nerve cranial component"
"UBERON:0011326"	"superior laryngeal nerve"
"UBERON:3010740"	"ramus auricularis of the vagus nerve"
"UBERON:3010754"	"ramus recurrens"
"UBERON:3010751"	"ramus muscularis of vagus nerve"
"UBERON:3010764"	"laryngeus ventralis"
"UBERON:0002924"	"terminal nerve"
"UBERON:0008906"	"lateral line nerve"
"UBERON:2000175"	"posterior lateral line nerve"
"UBERON:2001482"	"middle lateral line nerve"
"UBERON:2000425"	"anterior lateral line nerve"
"UBERON:2001480"	"dorsal anterior lateral line nerve"
"UBERON:2001481"	"ventral anterior lateral line nerve"
"UBERON:3010105"	"anterodorsal lateral line nerve (ADLLN)"
"UBERON:3010757"	"ramus superficial ophthalmic"
"UBERON:3010759"	"ramus buccal"
"UBERON:3010109"	"anteroventral lateral line nerve (AVLLN)"
"UBERON:3010765"	"ramus mandibularis externus"
"UBERON:3010778"	"jugal ramule"
"UBERON:3010794"	"oral ramule"
"UBERON:3010795"	"preopercular ramule"
"UBERON:3010115"	"posterior lateral line nerve (PLLN)"
"UBERON:3010801"	"ramus lateral"
"UBERON:3010804"	"ramus ventral"
"UBERON:3010126"	"middle lateral line nerve (MLLN)"
"UBERON:3010796"	"ramus supraotic"
"UBERON:3010798"	"ramulus suprabranchialis anterior"
"UBERON:3010799"	"ramulus suprabranchialis posterior"
"UBERON:0009121"	"vomeronasal nerve"
"UBERON:0004116"	"nerve of tympanic cavity"
"UBERON:0034729"	"sympathetic nerve"
"UBERON:0003715"	"splanchnic nerve"
"UBERON:0018683"	"lumbar splanchnic nerve"
"UBERON:0018684"	"sacral splanchnic nerve"
"UBERON:0034984"	"nerve to quadratus femoris"
"UBERON:0035642"	"laryngeal nerve"
"UBERON:0002019"	"accessory XI nerve"
"UBERON:0035649"	"nerve of penis"
"UBERON:0035650"	"nerve of clitoris"
"UBERON:0035652"	"fibular nerve"
"UBERON:2002010"	"hyoideomandibular nerve"
"UBERON:0001031"	"sheath of Schwann"
"UBERON:0002410"	"autonomic nervous system"
"UBERON:0000011"	"parasympathetic nervous system"
"UBERON:0001808"	"parasympathetic ganglion"
"UBERON:0001809"	"enteric ganglion"
"UBERON:0002059"	"submandibular ganglion"
"UBERON:0003962"	"pterygopalatine ganglion"
"UBERON:0003963"	"otic ganglion"
"UBERON:0005407"	"sublingual ganglion"
"UBERON:0010128"	"future pterygopalatine ganglion"
"UBERON:0014463"	"cardiac ganglion"
"UBERON:0035783"	"ganglion of ciliary nerve"
"UBERON:0002058"	"main ciliary ganglion"
"UBERON:0035776"	"accessory ciliary ganglion"
"UBERON:0000013"	"sympathetic nervous system"
"UBERON:0000407"	"sympathetic trunk"
"UBERON:0001807"	"paravertebral ganglion"
"UBERON:0000408"	"vertebral ganglion"
"UBERON:0001991"	"cervical ganglion"
"UBERON:0001989"	"superior cervical ganglion"
"UBERON:0001990"	"middle cervical ganglion"
"UBERON:0002440"	"inferior cervical ganglion"
"UBERON:0002441"	"cervicothoracic ganglion"
"UBERON:3010770"	"dorsal sympathetic chain"
"UBERON:3010771"	"ventral sympathetic chain"
"UBERON:0001806"	"sympathetic ganglion"
"UBERON:0003964"	"prevertebral ganglion"
"UBERON:0002262"	"celiac ganglion"
"UBERON:0035769"	"mesenteric ganglion"
"UBERON:0005453"	"inferior mesenteric ganglion"
"UBERON:0005479"	"superior mesenteric ganglion"
"UBERON:0016508"	"pelvic ganglion"
"UBERON:0003965"	"sympathetic afferent fiber"
"UBERON:0012373"	"sympathetic nerve plexus"
"UBERON:0001805"	"autonomic ganglion"
