"source"	"source_name"	"relation"	"target"	"target_name"
"GO:0097454"	"Schwann cell microvillus"	"part of"	"CL:0002573"	"Schwann cell"
"GO:0036135"	"Schwann cell migration"	"results in movement of"	"CL:0002573"	"Schwann cell"
"GO:0014044"	"Schwann cell development"	"results in development of"	"CL:0000218"	"myelinating Schwann cell"
"GO:0014037"	"Schwann cell differentiation"	"results in acquisition of features of"	"CL:0000218"	"myelinating Schwann cell"
"GO:0014010"	"Schwann cell proliferation"	"acts on population of"	"CL:0000218"	"myelinating Schwann cell"
"GO:0097454"	"Schwann cell microvillus"	"subClassOf"	"GO:0097386"	"glial cell projection"
"GO:0060952"	"cardiac glial cell development"	"results in development of"	"CL:0010020"	"cardiac glial cell"
"GO:0060950"	"cardiac glial cell differentiation"	"results in acquisition of features of"	"CL:0010020"	"cardiac glial cell"
"GO:0048938"	"lateral line nerve glial cell morphogenesis involved in differentiation"	"results in morphogenesis of"	"CL:1000050"	"lateral line nerve glial cell"
"GO:0048937"	"lateral line nerve glial cell development"	"results in development of"	"CL:1000050"	"lateral line nerve glial cell"
"GO:0048896"	"lateral line nerve glial cell migration"	"results in movement of"	"CL:1000050"	"lateral line nerve glial cell"
"GO:0048895"	"lateral line nerve glial cell differentiation"	"results in acquisition of features of"	"CL:1000050"	"lateral line nerve glial cell"
"GO:0048941"	"posterior lateral line nerve glial cell development"	"results in development of"	"CL:1000236"	"posterior lateral line nerve glial cell"
"GO:0048931"	"posterior lateral line nerve glial cell differentiation"	"results in acquisition of features of"	"CL:1000236"	"posterior lateral line nerve glial cell"
"GO:0048939"	"anterior lateral line nerve glial cell development"	"results in development of"	"CL:1000239"	"anterior lateral line nerve glial cell"
"GO:0048913"	"anterior lateral line nerve glial cell differentiation"	"results in acquisition of features of"	"CL:1000239"	"anterior lateral line nerve glial cell"
"CL:4023154"	"myelinating glial cell"	"has part"	"GO:0043209"	"myelin sheath"
"UBERON:0006135"	"myelinated nerve fiber"	"has part"	"GO:0043209"	"myelin sheath"
"UBERON:0000123"	"endoneurium"	"surrounds"	"GO:0043209"	"myelin sheath"
"GO:0032288"	"myelin assembly"	"results in assembly of"	"GO:0043209"	"myelin sheath"
"CL:0000652"	"pinealocyte"	"capable of"	"GO:0030187"	"melatonin biosynthetic process"
"GO:1901588"	"dendritic microtubule"	"part of"	"CL:0000540"	"neuron"
"GO:0150099"	"neuron-glial cell signaling"	"has start location"	"CL:0000540"	"neuron"
"GO:0150098"	"glial cell-neuron signaling"	"has end location"	"CL:0000540"	"neuron"
"GO:0098793"	"presynapse"	"part of"	"CL:0000540"	"neuron"
"GO:0098992"	"neuronal dense core vesicle"	"part of"	"CL:0000540"	"neuron"
"GO:0097733"	"photoreceptor cell cilium"	"part of"	"CL:0000540"	"neuron"
"GO:0070050"	"neuron cellular homeostasis"	"occurs in"	"CL:0000540"	"neuron"
"GO:0051402"	"neuron apoptotic process"	"occurs in"	"CL:0000540"	"neuron"
"GO:0048666"	"neuron development"	"results in development of"	"CL:0000540"	"neuron"
"GO:0043025"	"neuronal cell body"	"part of"	"CL:0000540"	"neuron"
"GO:0043005"	"neuron projection"	"part of"	"CL:0000540"	"neuron"
"GO:0042551"	"neuron maturation"	"results in maturation of"	"CL:0000540"	"neuron"
"GO:0036477"	"somatodendritic compartment"	"part of"	"CL:0000540"	"neuron"
"GO:0030182"	"neuron differentiation"	"results in acquisition of features of"	"CL:0000540"	"neuron"
"GO:0019228"	"neuronal action potential"	"occurs in"	"CL:0000540"	"neuron"
"GO:0007272"	"ensheathment of neurons"	"has participant"	"CL:0000540"	"neuron"
"GO:0001917"	"photoreceptor inner segment"	"part of"	"CL:0000540"	"neuron"
"GO:0001764"	"neuron migration"	"results in movement of"	"CL:0000540"	"neuron"
"GO:0001750"	"photoreceptor outer segment"	"part of"	"CL:0000540"	"neuron"
"CL:0000540"	"neuron"	"capable of"	"GO:0019226"	"transmission of nerve impulse"
"UBERON:0003926"	"photoreceptor outer segment layer"	"has part"	"GO:0001750"	"photoreceptor outer segment"
"GO:0120200"	"rod photoreceptor outer segment"	"subClassOf"	"GO:0001750"	"photoreceptor outer segment"
"GO:0120199"	"cone photoreceptor outer segment"	"subClassOf"	"GO:0001750"	"photoreceptor outer segment"
"GO:1903546"	"protein localization to photoreceptor outer segment"	"has target end location"	"GO:0001750"	"photoreceptor outer segment"
"GO:0035845"	"photoreceptor cell outer segment organization"	"results in organization of"	"GO:0001750"	"photoreceptor outer segment"
"GO:0001750"	"photoreceptor outer segment"	"part of"	"GO:0097733"	"photoreceptor cell cilium"
"GO:0001750"	"photoreceptor outer segment"	"part of"	"CL:0000210"	"photoreceptor cell"
"GO:0120199"	"cone photoreceptor outer segment"	"part of"	"CL:0000573"	"retinal cone cell"
"GO:0120200"	"rod photoreceptor outer segment"	"part of"	"CL:0000604"	"retinal rod cell"
"GO:0061104"	"adrenal chromaffin cell differentiation"	"results in acquisition of features of"	"CL:1000426"	"chromaffin cell of adrenal gland"
"CL:0002082"	"type II cell of adrenal medulla"	"capable of"	"GO:0048242"	"epinephrine secretion"
"CL:0002083"	"type I cell of adrenal medulla"	"capable of"	"GO:0048243"	"norepinephrine secretion"
"GO:1904936"	"interneuron migration"	"results in movement of"	"CL:0000099"	"interneuron"
"GO:0021514"	"ventral spinal cord interneuron differentiation"	"results in acquisition of features of"	"CL:0000099"	"interneuron"
"GO:0060040"	"retinal bipolar neuron differentiation"	"results in acquisition of features of"	"CL:0000748"	"retinal bipolar neuron"
"CL:0000748"	"retinal bipolar neuron"	"capable of"	"GO:0061535"	"glutamate secretion, neurotransmission"
"GO:1904390"	"cone retinal bipolar cell differentiation"	"results in acquisition of features of"	"CL:0000752"	"cone retinal bipolar cell"
"GO:0021894"	"cerebral cortex GABAergic interneuron development"	"results in development of"	"CL:0010011"	"cerebral cortex GABAergic interneuron"
"GO:0021892"	"cerebral cortex GABAergic interneuron differentiation"	"results in acquisition of features of"	"CL:0010011"	"cerebral cortex GABAergic interneuron"
"GO:0021853"	"cerebral cortex GABAergic interneuron migration"	"results in movement of"	"CL:0010011"	"cerebral cortex GABAergic interneuron"
"CL:4023069"	"medial ganglionic eminence derived GABAergic cortical interneuron"	"capable of"	"GO:0061534"	"gamma-aminobutyric acid secretion, neurotransmission"
"GO:0097410"	"hippocampal interneuron differentiation"	"results in acquisition of features of"	"CL:1001569"	"hippocampal interneuron"
"GO:0021891"	"olfactory bulb interneuron development"	"results in development of"	"CL:1001434"	"olfactory bulb interneuron"
"GO:0021889"	"olfactory bulb interneuron differentiation"	"results in acquisition of features of"	"CL:1001434"	"olfactory bulb interneuron"
"CL:0000626"	"olfactory granule cell"	"involved in regulation of"	"GO:0007608"	"sensory perception of smell"
"GO:0021701"	"cerebellar Golgi cell differentiation"	"results in acquisition of features of"	"CL:0000119"	"cerebellar Golgi cell"
"CL:0011005"	"GABAergic interneuron"	"capable of"	"GO:0061534"	"gamma-aminobutyric acid secretion, neurotransmission"
"CL:4030027"	"GABAergic amacrine cell"	"capable of"	"GO:0061534"	"gamma-aminobutyric acid secretion, neurotransmission"
"CL:0000118"	"basket cell"	"capable of"	"GO:0061534"	"gamma-aminobutyric acid secretion, neurotransmission"
"GO:0035881"	"amacrine cell differentiation"	"results in acquisition of features of"	"CL:0000561"	"amacrine cell"
"GO:0021710"	"cerebellar stellate cell differentiation"	"results in acquisition of features of"	"CL:0010010"	"cerebellar stellate cell"
"GO:0021860"	"pyramidal neuron development"	"results in development of"	"CL:0000598"	"pyramidal neuron"
"GO:0021859"	"pyramidal neuron differentiation"	"results in acquisition of features of"	"CL:0000598"	"pyramidal neuron"
"GO:0021852"	"pyramidal neuron migration"	"results in movement of"	"CL:0000598"	"pyramidal neuron"
"GO:0097432"	"hippocampal pyramidal neuron differentiation"	"results in acquisition of features of"	"CL:1001571"	"hippocampal pyramidal neuron"
"CL:0000108"	"cholinergic neuron"	"capable of"	"GO:0014055"	"acetylcholine secretion, neurotransmission"
"GO:0021523"	"somatic motor neuron differentiation"	"results in acquisition of features of"	"CL:0005024"	"somatomotor neuron"
"CL:3000003"	"sympathetic cholinergic neuron"	"capable of"	"GO:0014055"	"acetylcholine secretion, neurotransmission"
"GO:0021707"	"cerebellar granule cell differentiation"	"results in acquisition of features of"	"CL:0001031"	"cerebellar granule cell"
"GO:0097457"	"hippocampal mossy fiber"	"part of"	"CL:0001033"	"hippocampal granule cell"
"UBERON:0007637"	"hippocampus stratum lucidum"	"has part"	"GO:0097457"	"hippocampal mossy fiber"
"GO:0097457"	"hippocampal mossy fiber"	"subClassOf"	"GO:0030424"	"axon"
"GO:0021702"	"cerebellar Purkinje cell differentiation"	"results in acquisition of features of"	"CL:0000121"	"Purkinje cell"
"GO:0021884"	"forebrain neuron development"	"results in development of"	"CL:0012001"	"neuron of the forebrain"
"GO:0021879"	"forebrain neuron differentiation"	"results in acquisition of features of"	"CL:0012001"	"neuron of the forebrain"
"GO:0097154"	"GABAergic neuron differentiation"	"results in acquisition of features of"	"CL:0000617"	"GABAergic neuron"
"GO:0051932"	"synaptic transmission, GABAergic"	"has participant"	"CL:0000617"	"GABAergic neuron"
"CL:0000617"	"GABAergic neuron"	"capable of"	"GO:0061534"	"gamma-aminobutyric acid secretion, neurotransmission"
"GO:1904937"	"sensory neuron migration"	"results in movement of"	"CL:0000101"	"sensory neuron"
"CL:0000101"	"sensory neuron"	"capable of"	"GO:0050906"	"detection of stimulus involved in sensory perception"
"CL:0000006"	"neuronal receptor cell"	"capable of"	"GO:0050906"	"detection of stimulus involved in sensory perception"
"UBERON:0035017"	"nociceptor nerve ending"	"capable of"	"GO:0050966"	"detection of mechanical stimulus involved in sensory perception of pain"
"CL:0000207"	"olfactory receptor cell"	"capable of"	"GO:0050911"	"detection of chemical stimulus involved in sensory perception of smell"
"GO:0097733"	"photoreceptor cell cilium"	"part of"	"CL:0000210"	"photoreceptor cell"
"GO:0046530"	"photoreceptor cell differentiation"	"results in acquisition of features of"	"CL:0000210"	"photoreceptor cell"
"GO:0008594"	"photoreceptor cell morphogenesis"	"results in morphogenesis of"	"CL:0000210"	"photoreceptor cell"
"GO:0001917"	"photoreceptor inner segment"	"part of"	"CL:0000210"	"photoreceptor cell"
"CL:0000210"	"photoreceptor cell"	"capable of"	"GO:0050962"	"detection of light stimulus involved in sensory perception"
"GO:0016057"	"regulation of membrane potential in photoreceptor cell"	"occurs in"	"CL:0000210"	"photoreceptor cell"
"GO:0042461"	"photoreceptor cell development"	"results in development of"	"CL:0000210"	"photoreceptor cell"
"GO:0042462"	"eye photoreceptor cell development"	"results in development of"	"CL:0000287"	"eye photoreceptor cell"
"GO:0001754"	"eye photoreceptor cell differentiation"	"results in acquisition of features of"	"CL:0000287"	"eye photoreceptor cell"
"GO:0060219"	"camera-type eye photoreceptor cell differentiation"	"results in acquisition of features of"	"CL:0010009"	"camera-type eye photoreceptor cell"
"GO:0097473"	"retinal rod cell apoptotic process"	"occurs in"	"CL:0000604"	"retinal rod cell"
"GO:0060221"	"retinal rod cell differentiation"	"results in acquisition of features of"	"CL:0000604"	"retinal rod cell"
"GO:0046548"	"retinal rod cell development"	"results in development of"	"CL:0000604"	"retinal rod cell"
"GO:0097474"	"retinal cone cell apoptotic process"	"occurs in"	"CL:0000573"	"retinal cone cell"
"GO:0042670"	"retinal cone cell differentiation"	"results in acquisition of features of"	"CL:0000573"	"retinal cone cell"
"GO:0046549"	"retinal cone cell development"	"results in development of"	"CL:0000573"	"retinal cone cell"
"GO:0001751"	"compound eye photoreceptor cell differentiation"	"results in acquisition of features of"	"CL:2000019"	"compound eye photoreceptor cell"
"CL:0000488"	"visible light photoreceptor cell"	"capable of"	"GO:0009584"	"detection of visible light"
"UBERON:0003925"	"photoreceptor inner segment layer"	"has part"	"GO:0001917"	"photoreceptor inner segment"
"GO:0097733"	"photoreceptor cell cilium"	"subClassOf"	"GO:0043005"	"neuron projection"
"GO:0035678"	"neuromast hair cell morphogenesis"	"results in morphogenesis of"	"CL:0000856"	"neuromast hair cell"
"GO:0035675"	"neuromast hair cell development"	"results in development of"	"CL:0000856"	"neuromast hair cell"
"GO:0048886"	"neuromast hair cell differentiation"	"results in acquisition of features of"	"CL:0000856"	"neuromast hair cell"
"GO:0048903"	"anterior lateral line neuromast hair cell differentiation"	"results in acquisition of features of"	"CL:2000034"	"anterior lateral line neuromast hair cell"
"GO:0035676"	"anterior lateral line neuromast hair cell development"	"results in development of"	"CL:2000034"	"anterior lateral line neuromast hair cell"
"GO:0048923"	"posterior lateral line neuromast hair cell differentiation"	"results in acquisition of features of"	"CL:2000037"	"posterior lateral line neuromast hair cell"
"GO:0035677"	"posterior lateral line neuromast hair cell development"	"results in development of"	"CL:2000037"	"posterior lateral line neuromast hair cell"
"GO:0060118"	"vestibular receptor cell development"	"results in development of"	"CL:0000609"	"vestibular hair cell"
"GO:0060116"	"vestibular receptor cell morphogenesis"	"results in morphogenesis of"	"CL:0000609"	"vestibular hair cell"
"GO:0060114"	"vestibular receptor cell differentiation"	"results in acquisition of features of"	"CL:0000609"	"vestibular hair cell"
"GO:0061100"	"lung neuroendocrine cell differentiation"	"results in acquisition of features of"	"CL:1000223"	"lung neuroendocrine cell"
"CL:1000223"	"lung neuroendocrine cell"	"capable of"	"GO:0070483"	"detection of hypoxia"
"CL:0000199"	"mechanoreceptor cell"	"capable of"	"GO:0050974"	"detection of mechanical stimulus involved in sensory perception"
"CL:0000200"	"touch receptor cell"	"capable of"	"GO:0050976"	"detection of mechanical stimulus involved in sensory perception of touch"
"GO:0035315"	"hair cell differentiation"	"results in acquisition of features of"	"CL:0000855"	"sensory hair cell"
"GO:0042491"	"inner ear auditory receptor cell differentiation"	"results in acquisition of features of"	"CL:0000202"	"auditory hair cell"
"GO:0002093"	"auditory receptor cell morphogenesis"	"results in morphogenesis of"	"CL:0000202"	"auditory hair cell"
"CL:0000202"	"auditory hair cell"	"capable of"	"GO:0050910"	"detection of mechanical stimulus involved in sensory perception of sound"
"GO:0060117"	"auditory receptor cell development"	"results in development of"	"CL:0000202"	"auditory hair cell"
"CL:3000004"	"peripheral sensory neuron"	"capable of"	"GO:0050906"	"detection of stimulus involved in sensory perception"
"GO:0097475"	"motor neuron migration"	"results in movement of"	"CL:0000100"	"motor neuron"
"GO:0097049"	"motor neuron apoptotic process"	"occurs in"	"CL:0000100"	"motor neuron"
"GO:0097476"	"spinal cord motor neuron migration"	"results in movement of"	"CL:0011001"	"spinal cord motor neuron"
"GO:0021522"	"spinal cord motor neuron differentiation"	"results in acquisition of features of"	"CL:0011001"	"spinal cord motor neuron"
"GO:0061101"	"neuroendocrine cell differentiation"	"results in acquisition of features of"	"CL:0000165"	"neuroendocrine cell"
"CL:0000165"	"neuroendocrine cell"	"capable of"	"GO:0046879"	"hormone secretion"
"CL:4023109"	"vasopressin-secreting magnocellular cell"	"capable of"	"GO:0030103"	"vasopressin secretion"
"GO:0061102"	"stomach neuroendocrine cell differentiation"	"results in acquisition of features of"	"CL:1000222"	"stomach neuroendocrine cell"
"CL:1001505"	"parvocellular neurosecretory cell"	"capable of"	"GO:0030103"	"vasopressin secretion"
"GO:1905962"	"glutamatergic neuron differentiation"	"results in acquisition of features of"	"CL:0000679"	"glutamatergic neuron"
"CL:0000679"	"glutamatergic neuron"	"capable of"	"GO:0061535"	"glutamate secretion, neurotransmission"
"CL:4023039"	"amygdala excitatory neuron"	"capable of"	"GO:0061535"	"glutamate secretion, neurotransmission"
"CL:4023068"	"thalamic excitatory neuron"	"capable of"	"GO:0061535"	"glutamate secretion, neurotransmission"
"CL:0000850"	"serotonergic neuron"	"capable of"	"GO:0060096"	"serotonin secretion, neurotransmission"
"CL:0008028"	"visual system neuron"	"capable of part of"	"GO:0007601"	"visual perception"
"GO:0060959"	"cardiac neuron development"	"results in development of"	"CL:0010022"	"cardiac neuron"
"GO:0060945"	"cardiac neuron differentiation"	"results in acquisition of features of"	"CL:0010022"	"cardiac neuron"
"GO:0061449"	"olfactory bulb tufted cell development"	"results in development of"	"CL:1001503"	"olfactory bulb tufted cell"
"GO:0021954"	"central nervous system neuron development"	"results in development of"	"CL:2000029"	"central nervous system neuron"
"GO:0021953"	"central nervous system neuron differentiation"	"results in acquisition of features of"	"CL:2000029"	"central nervous system neuron"
"GO:0098749"	"cerebellar neuron development"	"results in development of"	"CL:1001611"	"cerebellar neuron"
"GO:0021895"	"cerebral cortex neuron differentiation"	"results in acquisition of features of"	"CL:0010012"	"cerebral cortex neuron"
"GO:0110088"	"hippocampal neuron apoptotic process"	"occurs in"	"CL:0002608"	"hippocampal neuron"
"GO:0061452"	"retrotrapezoid nucleus neuron differentiation"	"results in acquisition of features of"	"CL:1000001"	"retrotrapezoid nucleus neuron"
"GO:1904948"	"midbrain dopaminergic neuron differentiation"	"results in acquisition of features of"	"CL:2000097"	"midbrain dopaminergic neuron"
"GO:0048891"	"lateral line ganglion neuron differentiation"	"results in acquisition of features of"	"CL:2000031"	"lateral line ganglion neuron"
"GO:0048928"	"posterior lateral line ganglion neuron differentiation"	"results in acquisition of features of"	"CL:1000245"	"posterior lateral line ganglion neuron"
"GO:0048935"	"peripheral nervous system neuron development"	"results in development of"	"CL:2000032"	"peripheral nervous system neuron"
"GO:0048934"	"peripheral nervous system neuron differentiation"	"results in acquisition of features of"	"CL:2000032"	"peripheral nervous system neuron"
"CL:3000002"	"sympathetic noradrenergic neuron"	"capable of"	"GO:0061533"	"norepinephrine secretion, neurotransmission"
"GO:0071542"	"dopaminergic neuron differentiation"	"results in acquisition of features of"	"CL:0000700"	"dopaminergic neuron"
"GO:0036520"	"astrocyte-dopaminergic neuron signaling"	"has end location"	"CL:0000700"	"dopaminergic neuron"
"GO:0001963"	"synaptic transmission, dopaminergic"	"has participant"	"CL:0000700"	"dopaminergic neuron"
"CL:0000700"	"dopaminergic neuron"	"capable of"	"GO:0061527"	"dopamine secretion, neurotransmission"
"GO:0003358"	"noradrenergic neuron development"	"results in development of"	"CL:0008025"	"noradrenergic neuron"
"GO:0003357"	"noradrenergic neuron differentiation"	"results in acquisition of features of"	"CL:0008025"	"noradrenergic neuron"
"CL:0008025"	"noradrenergic neuron"	"capable of"	"GO:0061533"	"norepinephrine secretion, neurotransmission"
"GO:0099123"	"somato-dendritic dopamine secretion"	"occurs in"	"GO:0036477"	"somatodendritic compartment"
"GO:0097447"	"dendritic tree"	"part of"	"GO:0036477"	"somatodendritic compartment"
"GO:0061938"	"protein localization to somatodendritic compartment"	"has target end location"	"GO:0036477"	"somatodendritic compartment"
"GO:0043025"	"neuronal cell body"	"part of"	"GO:0036477"	"somatodendritic compartment"
"GO:0030425"	"dendrite"	"part of"	"GO:0036477"	"somatodendritic compartment"
"UBERON:0022317"	"olfactory cortex layer 1"	"has part"	"GO:0030425"	"dendrite"
"UBERON:0004679"	"dentate gyrus molecular layer"	"has part"	"GO:0030425"	"dendrite"
"GO:1901588"	"dendritic microtubule"	"part of"	"GO:0030425"	"dendrite"
"GO:0098935"	"dendritic transport"	"occurs in"	"GO:0030425"	"dendrite"
"GO:0097447"	"dendritic tree"	"has part"	"GO:0030425"	"dendrite"
"GO:0048813"	"dendrite morphogenesis"	"results in morphogenesis of"	"GO:0030425"	"dendrite"
"GO:0032839"	"dendrite cytoplasm"	"part of"	"GO:0030425"	"dendrite"
"GO:0032590"	"dendrite membrane"	"bounding layer of"	"GO:0030425"	"dendrite"
"GO:0032590"	"dendrite membrane"	"part of"	"GO:0030425"	"dendrite"
"GO:0030425"	"dendrite"	"subClassOf"	"GO:0043005"	"neuron projection"
"GO:0030425"	"dendrite"	"part of"	"GO:0097447"	"dendritic tree"
"GO:0016358"	"dendrite development"	"results in development of"	"GO:0030425"	"dendrite"
"UBERON:0001795"	"inner plexiform layer of retina"	"has part"	"GO:0030425"	"dendrite"
"GO:0032590"	"dendrite membrane"	"subClassOf"	"GO:0032589"	"neuron projection membrane"
"GO:0098971"	"anterograde dendritic transport of neurotransmitter receptor complex"	"occurs in"	"GO:0032839"	"dendrite cytoplasm"
"GO:0098961"	"dendritic transport of ribonucleoprotein complex"	"occurs in"	"GO:0032839"	"dendrite cytoplasm"
"GO:0098937"	"anterograde dendritic transport"	"occurs in"	"GO:0032839"	"dendrite cytoplasm"
"GO:0098934"	"retrograde dendritic transport"	"occurs in"	"GO:0032839"	"dendrite cytoplasm"
"GO:0032839"	"dendrite cytoplasm"	"subClassOf"	"GO:0120111"	"neuron projection cytoplasm"
"UBERON:0022318"	"olfactory cortex layer 2"	"composed primarily of"	"GO:0043025"	"neuronal cell body"
"UBERON:0014280"	"piriform cortex layer 2"	"has part"	"GO:0043025"	"neuronal cell body"
"UBERON:0002020"	"gray matter"	"composed primarily of"	"GO:0043025"	"neuronal cell body"
"GO:0097447"	"dendritic tree"	"subClassOf"	"GO:0043005"	"neuron projection"
"UBERON:0000122"	"neuron projection bundle"	"has part"	"GO:0043005"	"neuron projection"
"GO:0106027"	"neuron projection organization"	"results in organization of"	"GO:0043005"	"neuron projection"
"GO:0099640"	"axo-dendritic protein transport"	"occurs in"	"GO:0043005"	"neuron projection"
"GO:0120111"	"neuron projection cytoplasm"	"part of"	"GO:0043005"	"neuron projection"
"GO:0048812"	"neuron projection morphogenesis"	"results in morphogenesis of"	"GO:0043005"	"neuron projection"
"GO:0032589"	"neuron projection membrane"	"bounding layer of"	"GO:0043005"	"neuron projection"
"GO:0032589"	"neuron projection membrane"	"part of"	"GO:0043005"	"neuron projection"
"GO:0030424"	"axon"	"subClassOf"	"GO:0043005"	"neuron projection"
"GO:0008088"	"axo-dendritic transport"	"occurs in"	"GO:0043005"	"neuron projection"
"UBERON:0001794"	"inner limiting layer of retina"	"has part"	"GO:0043005"	"neuron projection"
"UBERON:0006134"	"nerve fiber"	"has part"	"GO:0030424"	"axon"
"UBERON:0001031"	"sheath of Schwann"	"surrounds"	"GO:0030424"	"axon"
"GO:1904115"	"axon cytoplasm"	"part of"	"GO:0030424"	"axon"
"GO:1901589"	"axon microtubule bundle"	"part of"	"GO:0030424"	"axon"
"GO:0099612"	"protein localization to axon"	"has target end location"	"GO:0030424"	"axon"
"GO:0099519"	"dense core granule cytoskeletal transport"	"occurs in"	"GO:0030424"	"axon"
"GO:0099124"	"axonal dopamine secretion"	"occurs in"	"GO:0030424"	"axon"
"GO:0098930"	"axonal transport"	"occurs in"	"GO:0030424"	"axon"
"GO:0044304"	"main axon"	"part of"	"GO:0030424"	"axon"
"GO:0033268"	"node of Ranvier"	"part of"	"GO:0030424"	"axon"
"GO:0008366"	"axon ensheathment"	"has participant"	"GO:0030424"	"axon"
"GO:0007409"	"axonogenesis"	"results in morphogenesis of"	"GO:0030424"	"axon"
"UBERON:0001793"	"nerve fiber layer of retina"	"composed primarily of"	"GO:0030424"	"axon"
"GO:0033268"	"node of Ranvier"	"part of"	"GO:0044304"	"main axon"
"GO:1990049"	"retrograde neuronal dense core vesicle transport"	"occurs in"	"GO:1904115"	"axon cytoplasm"
"GO:1990048"	"anterograde neuronal dense core vesicle transport"	"occurs in"	"GO:1904115"	"axon cytoplasm"
"GO:1904115"	"axon cytoplasm"	"subClassOf"	"GO:0120111"	"neuron projection cytoplasm"
"GO:0140231"	"anterograde axonal transport of neurotransmitter receptor complex"	"occurs in"	"GO:1904115"	"axon cytoplasm"
"GO:0099642"	"retrograde axonal protein transport"	"occurs in"	"GO:1904115"	"axon cytoplasm"
"GO:0099641"	"anterograde axonal protein transport"	"occurs in"	"GO:1904115"	"axon cytoplasm"
"GO:0008090"	"retrograde axonal transport"	"occurs in"	"GO:1904115"	"axon cytoplasm"
"GO:0008089"	"anterograde axonal transport"	"occurs in"	"GO:1904115"	"axon cytoplasm"
"GO:1990049"	"retrograde neuronal dense core vesicle transport"	"has primary input"	"GO:0098992"	"neuronal dense core vesicle"
"GO:1990048"	"anterograde neuronal dense core vesicle transport"	"has primary input"	"GO:0098992"	"neuronal dense core vesicle"
"GO:0099014"	"neuronal dense core vesicle organization"	"results in organization of"	"GO:0098992"	"neuronal dense core vesicle"
